id,wine,rating,location,image
14,Ermitage de l'Orée 2004,"{'average': '4.8', 'reviews': '41 ratings'}",France·Hermitage,https://images.vivino.com/thumbs/K3N0EZYBQeWunDuzNC0Dug_pb_x300.png
15,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2005,"{'average': '4.8', 'reviews': '39 ratings'}",France·Pessac-Léognan,https://images.vivino.com/thumbs/EvtJOugzTx-HZXZfdZvTsA_pb_x300.png
16,Montrachet Grand Cru Marquis de Laguiche 2015,"{'average': '4.8', 'reviews': '38 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/1QoFUeYqQaCU07v4MBx8yw_pb_x300.png
17,Vin de Pays de l'Hérault Blanc 2007,"{'average': '4.8', 'reviews': '37 ratings'}",France·Hérault,https://images.vivino.com/thumbs/tBJyYsUeTxuYIPy6oS5T4A_pb_x300.png
18,Clos Sainte Hune Riesling Alsace 1990,"{'average': '4.8', 'reviews': '36 ratings'}",France·Alsace,https://images.vivino.com/thumbs/sOfai0jLTaKoP_6oXtvH9w_pb_x300.png
19,Meursault Les Rougeots 2010,"{'average': '4.8', 'reviews': '35 ratings'}",France·Meursault,https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png
20,Corton-Charlemagne Grand Cru 2009,"{'average': '4.8', 'reviews': '34 ratings'}",France·Corton-Charlemagne Grand Cru,https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png
21,The Judge Chardonnay 2012,"{'average': '4.8', 'reviews': '34 ratings'}",United States·Napa Valley,https://images.vivino.com/thumbs/xfK7hQR7T6WJjvIIsDW21A_pb_x300.png
22,Montrachet Grand Cru 1993,"{'average': '4.8', 'reviews': '32 ratings'}",France·Montrachet Grand Cru,https://images.vivino.com/thumbs/rORmihtxSrKG7SfuI0bD6w_pb_x300.png
23,Corton-Charlemagne Grand Cru 2005,"{'average': '4.8', 'reviews': '32 ratings'}",France·Corton-Charlemagne Grand Cru,https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png
24,Corton Charlemagne Grand Cru 2015,"{'average': '4.8', 'reviews': '32 ratings'}",France·Corton-Charlemagne Grand Cru,https://images.vivino.com/thumbs/npJNfRLlTtqqmoSCrsn2Kw_pb_x300.png
25,G-Max Riesling 2009,"{'average': '4.8', 'reviews': '31 ratings'}",Germany·Rheinhessen,https://images.vivino.com/thumbs/_tbErBvfQ3CcDGgJf-I6Dw_pb_x300.png
26,Unendlich Riesling 2007,"{'average': '4.8', 'reviews': '31 ratings'}",Austria·Wachau,https://images.vivino.com/thumbs/Clc1N_neRBq_orOAKw9aqg_pb_x300.png
27,Corton-Charlemagne Grand Cru 2007,"{'average': '4.8', 'reviews': '30 ratings'}",France·Corton-Charlemagne Grand Cru,https://images.vivino.com/thumbs/QIs0hHhdRHubnyUjY8U2kA_pb_x300.png
28,Meursault Les Rougeots 2004,"{'average': '4.8', 'reviews': '30 ratings'}",France·Meursault,https://images.vivino.com/thumbs/l5W5NRvZR_SzClIDSnG5Ag_pb_x300.png
29,Ermitage Le Méal Blanc 2006,"{'average': '4.8', 'reviews': '30 ratings'}",France·Hermitage,https://images.vivino.com/thumbs/e8iQmynXSRq_uYHKMdPMlQ_pb_x300.png
30,Chevalier-Montrachet Grand Cru 2008,"{'average': '4.8', 'reviews': '29 ratings'}",France·Chevalier-Montrachet Grand Cru,https://images.vivino.com/thumbs/mpBp_HteQAKsBo5MJ6JnMA_pb_x300.png
31,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 1998,"{'average': '4.8', 'reviews': '29 ratings'}",France·Pessac-Léognan,https://images.vivino.com/thumbs/EvtJOugzTx-HZXZfdZvTsA_pb_x300.png
